"","Name","Database_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Direction"
"3698","STARD10","ENSP00000335247.6",-0.219139579547602,-0.00458018346087299,-1.87731288689845,0.0632454559582361,0.103630128376127,-5.30281249636976,"down"
"3699","TMLHE","ENSP00000335261.3",0.216964974484029,0.0739467390603843,1.46046380928764,0.147142775147189,0.213717750265096,-5.98142946562236,"up"
"3700","DLST","ENSP00000335304.4",0.0226584546884872,-0.0759982266086472,0.247011908634531,0.805380387788366,0.853204871893563,-7.00860638326517,"up"
"3701","BCL9L","ENSP00000335320.3",0.0234373205799801,0.00138354534238927,0.285200556198482,0.776051028321997,0.829863834684822,-6.9984319116427,"up"
"3702","SF3B1","ENSP00000335321.6",0.476736945426625,0.215965274422792,9.04981838232921,8.11867967351908e-15,4.38202295259687e-13,23.2278075903959,"up"
"3703","CDC42BPA","ENSP00000335341.6",-0.269716573249761,0.116327377543962,-3.41759269003346,0.000899330042787862,0.00250014536993273,-1.49287148168783,"down"
"3704","TRAPPC11","ENSP00000335371.6",0.0481128226218963,0.156763721240372,0.639420361828757,0.523938683195909,0.611165837596107,-6.83474635620965,"up"
"3705","WDR20","ENSP00000335434.5",-0.264997822147805,0.0316731675569492,-3.38594516924625,0.000998108987204069,0.00273888674687752,-1.58996264044443,"down"
"3706","PLCH1","ENSP00000335469.6",-0.0359546602192604,-3.18825135959963,-0.191084111659464,0.848827991072492,0.887715184752167,-7.02087476911044,"down"
"3707","AGAP3","ENSP00000335589.3",-0.446854662779494,0.124980728427032,-3.55872566521002,0.000560677135762385,0.00163880343169832,-1.05129690073206,"down"
"3708","TCP11L1","ENSP00000335595.4",-0.137398173597299,0.128317411949749,-1.11460593384755,0.267559230649408,0.351357678351769,-6.42048407276787,"down"
"3709","PLCD1","ENSP00000335600.4",-0.784142793855393,0.121212320350351,-7.27416252571235,6.48849310855777e-11,1.12296773392403e-09,14.3955349234506,"down"
"3710","CHP1","ENSP00000335632.5",-0.485707862582109,0.159260175121487,-6.15842769198818,1.3624510376204e-08,1.24572206294399e-07,9.16548905804276,"down"
"3711","FMNL3","ENSP00000335655.5",0.0660040827183202,0.165329939590224,0.805865299482341,0.422137725639622,0.513188618934674,-6.71484529125617,"up"
"3712","FOXK2","ENSP00000335677.5",0.0420034459299691,-0.0978014238441892,0.42380885786658,0.672570513648513,0.743293701444973,-6.94926265281558,"up"
"3713","PSME3IP1","ENSP00000335808.6",0.326095967337488,0.0173659227896366,3.14889312024489,0.00213338368367876,0.00537268512508898,-2.29399279832172,"up"
"3714","TTC7B","ENSP00000336127.4",-0.733332317765607,0.0374633245235323,-6.6255602591195,1.51210584871134e-09,1.81709474536652e-08,11.3122757752824,"down"
"3715","ACOT9","ENSP00000336580.7",-0.115737939764009,0.206182872511432,-1.66138847835239,0.0996111976716488,0.153427743160999,-5.67439749479051,"down"
"3716","CDR2L","ENSP00000336587.5",0.275631623846257,-0.259711142898073,2.2135297884018,0.0290201974891124,0.0526130480524215,-4.64051745768698,"up"
"3717","P2RX4","ENSP00000336607.4",0.0335840991192169,0.144056458346283,0.262688095056708,0.793304739195219,0.843498812009073,-7.00460620273073,"up"
"3718","AP1S1","ENSP00000336666.5",0.234015222448323,0.188122613800468,2.7753930560347,0.00652630004596969,0.0143380493248641,-3.31615997529907,"up"
"3719","CBX3","ENSP00000336687.4",1.1061127123654,-0.189108957599534,12.5713189178293,1.10831129120275e-22,4.41177163354394e-20,41.0685203073647,"up"
"3720","TNPO1","ENSP00000336712.5",0.397383509136224,0.302590065609479,6.03028964792756,2.4621733297806e-08,2.09366915051704e-07,8.58872184398275,"up"
